listing_id,price_eur,mileage_km,age_years,make,model,predicted_price_eur,pi_lower_eur,pi_upper_eur,bargain,bargain_score
352,21749,128450.0,6.0,audi,a3,18875.692065332856,13615.918709348472,24135.46542131721,0,0.0
358,22970,41172.0,3.0,audi,a3,27198.9328354112,21944.24170454374,32453.623966278654,0,0.1554815720529083
378,33980,39600.0,3.0,audi,a3,27280.89763556312,22025.994965973827,32535.8003051524,0,0.0
383,5500,176904.0,20.0,audi,a3,-1255.842404629031,-6599.523520505722,4087.8387112476457,0,1.0
441,31890,79900.0,1.0,audi,a3,27694.65441831149,22428.802593325996,32960.50624329696,0,0.0
445,32900,23000.0,1.0,audi,a3,30661.446484878994,25403.196923619365,35919.69604613861,0,0.0
453,36990,30463.0,3.0,audi,a3,27757.305001331613,22500.764206791067,33013.845795872156,0,0.0
487,16950,75300.0,8.0,audi,a3,19131.94016932249,13871.322196437297,24392.558142207676,0,0.11404698896252914
498,20995,65489.0,4.0,audi,a3,24673.524693174848,19420.73367555842,29926.31571079127,0,0.1490879288192009
550,14790,67133.0,11.0,audi,a3,15785.245423735101,10497.484554037348,21073.006293432853,0,0.06304909407608099
636,33410,5.0,0.0,audi,a3,33117.92494149141,27854.770420403096,38381.07946257972,0,0.0
709,19990,98438.0,9.0,audi,a3,16668.005627200077,11407.824434930093,21928.186819470044,0,0.0
247,25979,49150.0,3.0,audi,a3,26782.95626059441,21529.020396874614,32036.89212431419,0,0.03001745784789501
280,14850,123907.0,9.0,audi,a3,15340.040299547916,10081.65700874288,20598.42359035293,0,0.03194517680389393
336,36490,5774.0,1.0,audi,a3,31559.618016314704,26298.34025614132,36820.89577648809,0,0.0
349,19480,126174.0,3.0,audi,a3,22766.889614982887,17492.920982237025,28040.858247728705,0,0.14437148291085777
416,23821,59250.0,5.0,audi,a3,23741.320389005927,18487.392885997353,28995.247892014486,0,0.0
433,26900,62000.0,1.0,audi,a3,28627.968618514624,23367.420338157775,33888.51689887145,0,0.06035945622062374
481,14950,106805.0,7.0,audi,a3,18746.763658835975,13492.4180100808,24001.10930759112,0,0.20252901929802872
635,33410,5.0,0.0,audi,a3,33117.92494149141,27854.770420403096,38381.07946257972,0,0.0
699,14995,198037.0,9.0,audi,a3,11474.868139712256,6190.94926248982,16758.787016934642,0,0.0
700,15950,143038.0,12.0,audi,a3,10570.015328421694,5299.997704272526,15840.032952570833,0,0.0
702,16943,197948.0,5.0,audi,a3,16509.54312980066,11196.743163078245,21822.343096523007,0,0.0
714,23945,99501.0,5.0,audi,a3,21642.61480954356,16388.067693390858,26897.161925696233,0,0.0
205,22790,29327.0,4.0,audi,a3,26559.02793941763,21300.31368553984,31817.742193295417,0,0.14191136618459665
216,26995,33000.0,4.0,audi,a3,26367.516036772595,21109.901468037642,31625.130605507547,0,0.0
240,23889,43700.0,3.0,audi,a3,27067.121757304303,21812.727513808313,32321.51600080028,0,0.11741631732404864
342,14890,100000.0,10.0,audi,a3,15329.053609300165,10063.817916065465,20594.289302534853,0,0.02864192535890083
386,6700,105000.0,17.0,audi,a3,6265.7909624368585,923.3088150856329,11608.273109788077,0,0.0
387,8290,203440.0,12.0,audi,a3,7420.6273775462905,2139.5260275162564,12701.728727576274,0,0.0
423,24900,49685.0,3.0,audi,a3,26755.061115504537,21501.15686846806,32008.965362541,0,0.0693349608694981
470,5700,214700.0,13.0,audi,a3,5576.01719687711,289.4478650169067,10862.586528737258,0,0.0
484,15950,112000.0,6.0,audi,a3,19733.402601273723,14478.049363842641,24988.755838704776,0,0.19172581017677698
712,20950,167540.0,3.0,audi,a3,20610.047424725744,15305.041836867758,25915.053012583674,0,0.0
206,25490,36831.0,4.0,audi,a3,26167.765941745878,20911.178518986344,31424.353364505412,0,0.02590079501837131
310,9450,182321.0,11.0,audi,a3,9779.290334740766,4506.806230715065,15051.774438766424,0,0.03367221173206894
369,24890,117182.0,2.0,audi,a3,24493.245236654264,19216.77739544332,29769.71307786517,0,0.0
376,29940,81200.0,2.0,audi,a3,26369.3632004369,21108.859878594765,31629.86652227901,0,0.0
425,25900,90420.0,2.0,audi,a3,25888.62817664512,20625.058762660527,31152.19759062968,0,0.0
429,25990,87880.0,3.0,audi,a3,24763.55631792025,19505.728167284833,30021.38446855564,0,0.0
431,26500,86371.0,2.0,audi,a3,26099.74489154023,20837.6091125182,31361.880670562234,0,0.0
473,9490,159000.0,12.0,audi,a3,9737.749336039436,4467.755221487149,15007.743450591686,0,0.025442155829840014
493,19990,98000.0,9.0,audi,a3,16690.84314785309,11430.583673965244,21951.102621740923,0,0.0
627,28988,27800.0,1.0,audi,a3,30411.172285941844,25153.325284087918,35669.01928779576,0,0.04679767923973563
221,15900,106523.0,8.0,audi,a3,17503.958645694416,12248.084554912795,22759.832736476023,0,0.09163405136865736
508,23950,73722.0,4.0,audi,a3,24244.25230153952,18991.282674805203,29497.221928273822,0,0.012136992219010805
551,14790,67133.0,11.0,audi,a3,15785.245423735101,10497.484554037348,21073.006293432853,0,0.06304909407608099
574,20440,50000.0,6.0,audi,a3,22966.111004211954,17707.102825434973,28225.119182988936,0,0.1099929806900554
583,21990,72000.0,4.0,audi,a3,24334.038170408225,19081.152768936598,29586.923571879837,0,0.09632754555545688
666,32990,27390.0,1.0,audi,a3,30432.549873767726,25174.67600226414,35690.4237452713,0,0.0
706,18950,89372.0,7.0,audi,a3,19655.728265100846,14401.310995010343,24910.14553519133,0,0.03590445775310608
718,26950,112729.0,3.0,audi,a3,23467.91807429748,18201.003408060285,28734.832740534628,0,0.0
211,23999,72100.0,4.0,audi,a3,24328.824124597035,19075.93450998957,29581.71373920448,0,0.013556928313011831
238,23799,35400.0,3.0,audi,a3,27499.887559633127,22244.31846418752,32755.456655078728,0,0.13457827969688252
275,11950,202335.0,9.0,audi,a3,11250.76845074728,5963.972592661604,16537.564308832905,0,0.0
277,12995,137396.0,10.0,audi,a3,13379.209037747292,8117.546426302137,18640.87164919242,0,0.02871687232506108
