make,model,mileage,price,price_label,registration,fuel,country,power_hp,country_name,page
audi,a3,60600,24910,somewhat-expensive,08-2022,b,d,110,germany,15
audi,a3,26195,26780,good-price,01-2024,d,d,116,germany,15
audi,a3,48400,24488,fair-price,10-2022,2,d,204,germany,15
audi,a3,30900,28888,fair-price,10-2022,2,d,245,germany,15
audi,a3,unknown,24790,unknown,new,b,d,110,germany,15
audi,a3,25895,37350,fair-price,03-2024,b,d,190,germany,15
audi,a3,7000,32999,top-price,03-2025,b,d,116,germany,15
audi,a3,26283,33980,top-price,04-2025,d,d,150,germany,15
audi,a3,0,24380,unknown,new,b,d,116,germany,16
audi,a3,75900,22900,fair-price,08-2022,d,d,116,germany,16
audi,a3,8100,31999,top-price,03-2025,b,d,116,germany,16
audi,a3,8600,35999,top-price,03-2025,b,d,116,germany,16
audi,a3,95434,18385,good-price,04-2021,b,d,110,germany,16
audi,a3,43700,23889,somewhat-expensive,12-2022,2,d,204,germany,16
audi,a3,70404,26945,fair-price,08-2022,d,d,150,germany,16
audi,a3,6001,49400,fair-price,12-2025,b,d,204,germany,16
audi,a3,7500,39900,top-price,06-2025,b,d,150,germany,16
audi,a3,63400,26849,fair-price,12-2022,b,d,150,germany,16
audi,a3,84000,33890,fair-price,03-2023,d,d,200,germany,16
audi,a3,28200,24488,fair-price,10-2022,2,d,204,germany,16
audi,a3,49400,26490,fair-price,09-2023,b,d,150,germany,16
audi,a3,135155,19290,top-price,11-2022,d,d,116,germany,16
audi,a3,15261,28390,fair-price,03-2025,b,d,116,germany,16
audi,a3,5300,33799,top-price,03-2025,b,d,116,germany,16
audi,a3,33250,25590,somewhat-expensive,11-2021,b,d,110,germany,16
audi,a3,27430,22780,good-price,11-2022,b,d,110,germany,16
audi,a3,37260,24900,fair-price,12-2021,2,d,204,germany,16
audi,a3,30900,25910,fair-price,07-2021,2,d,204,germany,16
audi,a3,27488,13890,fair-price,03-2011,b,d,105,germany,17
audi,a3,31100,23999,fair-price,12-2022,2,d,204,germany,17
audi,a3,unknown,41490,unknown,new,b,d,150,germany,17
audi,a3,80428,25970,unknown,12-2022,2,d,204,germany,17
audi,a3,71300,19880,fair-price,10-2019,d,d,116,germany,17
audi,a3,97600,31888,somewhat-expensive,08-2022,d,d,200,germany,17
audi,a3,78300,22499,fair-price,10-2022,2,d,204,germany,17
audi,a3,14999,41990,somewhat-expensive,03-2025,d,d,150,germany,17
audi,a3,7200,36980,good-price,12-2024,b,d,150,germany,17
audi,a3,9200,42200,unknown,04-2025,2,d,204,germany,17
audi,a3,22000,29810,fair-price,05-2025,b,d,116,germany,17
audi,a3,68990,25949,fair-price,08-2022,2,d,204,germany,17
audi,a3,1800,37988,somewhat-expensive,01-2025,b,d,116,germany,17
audi,a3,6001,43200,toolow-price ,06-2025,2,d,272,germany,17
audi,a3,49800,23459,fair-price,12-2022,2,d,204,germany,17
audi,a3,21500,30900,somewhat-expensive,11-2022,b,d,150,germany,17
audi,a3,5700,38410,good-price,09-2024,b,d,150,germany,17
audi,a3,2000,40990,good-price,09-2025,d,d,150,germany,17
audi,a3,9,59300,unknown,new,2,d,204,germany,17
audi,a3,49400,22590,fair-price,12-2020,2,d,204,germany,17
audi,a3,43288,21950,top-price,12-2022,b,d,150,germany,18
audi,a3,20360,32690,fair-price,02-2025,b,d,150,germany,18
audi,a3,8200,40910,fair-price,07-2024,b,d,150,germany,18
audi,a3,22000,30810,fair-price,05-2025,b,d,116,germany,18
audi,a3,58751,17660,top-price,05-2020,2,d,204,germany,18
audi,a3,148850,12480,top-price,03-2016,b,d,125,germany,18
audi,a3,96511,14995,good-price,07-2018,b,d,116,germany,18
audi,a3,232500,6400,unknown,08-2015,d,d,110,germany,18
audi,a3,123250,11100,unknown,03-2015,b,d,110,germany,18
audi,a3,108000,16980,top-price,11-2018,b,d,150,germany,18
audi,a3,130000,13950,top-price,03-2017,b,d,150,germany,18
audi,a3,85000,19900,top-price,03-2021,2,d,204,germany,18
audi,a3,15833,32960,top-price,11-2024,d,d,150,germany,18
audi,a3,38949,26860,fair-price,11-2022,d,d,150,germany,18
audi,a3,27615,23490,fair-price,07-2022,b,d,150,germany,18
audi,a3,42000,22490,good-price,03-2022,b,d,110,germany,18
audi,a3,50300,29990,good-price,07-2022,b,d,190,germany,18
audi,a3,50000,22290,top-price,10-2022,b,d,150,germany,18
audi,a3,55394,16480,top-price,03-2020,b,d,150,germany,18
audi,a3,150000,7990,fair-price,08-2012,b,d,105,germany,18
audi,a3,74412,16990,top-price,07-2018,b,d,116,germany,19
audi,a3,29505,25860,fair-price,11-2022,d,d,116,germany,19
audi,a3,169800,11580,unknown,04-2013,d,d,150,germany,19
audi,a3,45062,22490,good-price,09-2022,b,d,150,germany,19
audi,a3,25430,28490,top-price,06-2024,b,d,150,germany,19
audi,a3,30269,18690,fair-price,07-2018,b,d,116,germany,19
audi,a3,24431,30990,top-price,03-2022,b,d,190,germany,19
audi,a3,86000,11740,fair-price,03-2013,b,d,122,germany,19
audi,a3,8973,24975,top-price,11-2024,b,d,116,germany,19
audi,a3,19004,32975,top-price,08-2024,d,d,150,germany,19
audi,a3,98300,24950,fair-price,07-2018,d,d,184,germany,19
audi,a3,44029,20690,fair-price,12-2020,b,d,110,germany,19
audi,a3,38160,25850,top-price,03-2025,b,d,116,germany,19
audi,a3,41954,26899,top-price,04-2023,b,d,150,germany,19
audi,a3,157000,14250,top-price,05-2016,d,d,150,germany,19
audi,a3,27650,27380,top-price,10-2022,2,d,150,germany,19
audi,a3,25095,34780,fair-price,08-2024,d,d,150,germany,19
audi,a3,14,37990,unknown,08-2025,d,d,150,germany,19
audi,a3,87600,15550,good-price,10-2014,b,d,179,germany,19
audi,a3,5802,29690,top-price,09-2024,b,d,150,germany,19
audi,a3,50000,22260,good-price,07-2021,b,d,110,germany,20
audi,a3,26955,22990,top-price,04-2023,b,d,110,germany,20
audi,a3,86389,20890,somewhat-expensive,07-2015,b,d,220,germany,20
audi,a3,38224,28690,fair-price,06-2022,b,d,190,germany,20
audi,a3,4564,36990,top-price,02-2025,d,d,150,germany,20
audi,a3,20615,28690,top-price,09-2024,b,d,150,germany,20
audi,a3,17032,24990,top-price,06-2024,b,d,110,germany,20
audi,a3,2500,52450,unknown,08-2025,d,d,150,germany,20
audi,a3,15198,23690,good-price,04-2023,b,d,110,germany,20
audi,a3,9655,28900,good-price,05-2024,b,d,150,germany,20
audi,a3,60000,23490,fair-price,07-2022,b,d,110,germany,20
audi,a3,28500,32200,unknown,05-2024,b,d,150,germany,20
audi,a3,17309,27290,fair-price,10-2023,b,d,150,germany,20
audi,a3,22500,28290,top-price,05-2024,b,d,150,germany,20
audi,a3,4697,36930,fair-price,09-2024,b,d,116,germany,20
audi,a3,6348,34550,good-price,11-2024,b,d,150,germany,20
audi,a3,44113,24630,fair-price,12-2022,2,d,204,germany,20
audi,a3,8030,32690,fair-price,11-2024,b,d,150,germany,20
audi,a3,10062,38475,fair-price,04-2025,d,d,150,germany,20
audi,a3,10125,25755,fair-price,10-2023,b,d,110,germany,20
audi,a3,74872,13990,fair-price,10-2015,d,d,110,germany,21
audi,a3,9500,34900,unknown,02-2025,b,d,150,germany,21
audi,a3,5912,36975,top-price,02-2025,b,d,150,germany,21
audi,a3,24954,30690,good-price,02-2025,b,d,150,germany,21
audi,a3,29588,30690,fair-price,04-2025,b,d,150,germany,21
audi,a3,20756,35690,good-price,03-2025,d,d,150,germany,21
audi,a3,17707,39990,unknown,09-2024,2,d,150,germany,21
audi,a3,11079,30980,good-price,10-2024,b,d,116,germany,21
audi,a3,3213,35475,good-price,08-2024,b,d,150,germany,21
audi,a3,9855,25755,fair-price,10-2023,b,d,110,germany,21
audi,a3,29407,30690,fair-price,03-2025,b,d,150,germany,21
audi,a3,27600,30975,fair-price,04-2025,b,d,150,germany,21
audi,a3,35300,25180,fair-price,12-2021,d,d,150,germany,21
audi,a3,13314,34550,fair-price,12-2024,b,d,150,germany,21
audi,a3,1000,43800,fair-price,03-2025,d,d,150,germany,21
audi,a3,11041,31690,fair-price,10-2024,b,d,150,germany,21
audi,a3,30200,27180,fair-price,11-2022,2,d,150,germany,21
audi,a3,26839,28980,fair-price,01-2025,b,d,116,germany,21
audi,a3,170000,3300,good-price,10-2006,b,d,200,germany,21
audi,a3,68042,11550,top-price,11-2015,b,d,110,germany,21
audi,a3,65442,19890,top-price,11-2020,b,d,150,germany,22
audi,a3,266000,4000,top-price,02-2010,d,d,140,germany,22
audi,a3,77000,16900,top-price,09-2015,b,d,150,germany,22
audi,a3,110000,15000,top-price,07-2016,d,d,150,germany,22
audi,a3,209000,11700,somewhat-expensive,02-2014,d,d,150,germany,22
audi,a3,119480,3900,fair-price,06-2003,b,d,102,germany,22
